File,Extracted_Entities,Ground_Truth_Entities,True_Positive,True_Negative,False_Positive,False_Negative,Accuracy
es-S0210-48062003001000009-1,"['lidocaine', 'amlodipine', 'chlorthalidone', 'epinephrine', 'atenolol', 'saline']","['lidocaine', 'amlodipine', 'chlorthalidone', 'epinephrine', 'atenolol']",5,0,1,0,0.8333333333333334
es-S0210-48062007001000016-1,"['prednisone', 'furosemide', 'pentoxifylline', 'mg', 'methylprednisolone']","['prednisone', 'furosemide', 'methylprednisolone', 'pentoxifylline']",4,0,1,0,0.8
es-S0378-48352006000500005-1,"['mg', '5-fluorouracil', 'cisplatin']","['5-fluorouracil', 'cisplatin']",2,0,1,0,0.6666666666666666
es-S1130-05582015000100008-1,"['prednisone', 'cyclophosphamide', 'rituximab', 'vincristine', 'granulocyte colony-stimulating factor', 'etoposide', 'cocaine', 'mg', 'methotrexate', 'doxorubicin', 'k', 'amoxicillin/clavulanic acid']","['prednisone', 'cyclophosphamide', 'rituximab', 'vincristine', 'granulocyte colony-stimulating factor', 'etoposide', 'doxorubicin', 'amoxicillin/clavulanic acid']",8,0,4,0,0.6666666666666666
es-S0376-78922009000100014-1,"['mesna', 'dacarbazine', 'adriamycin', 'ifosmamide']","['mesna', 'dacarbazine', 'adriamycin', 'ifosmamide']",4,0,0,0,1.0
es-S0365-66912011000800006-1,"['medroxyprogesterone', 'insulin', 'physiological saline']","['medroxyprogesterone', 'physiological saline']",2,0,1,0,0.6666666666666666
es-S1134-80462015000300003-1,"['tramadol', 'duloxetine', 'botulinum toxin serotype a', 'mg', 'pregabalin', 'dysport', 'pyridostigmine']","['tramadol', 'duloxetine', 'botulinum toxin serotype a', 'pregabalin', 'dysport', 'pyridostigmine']",6,0,1,0,0.8571428571428571
es-S1137-66272009000500016-1,"['carbaglu', 'dexamethasone', 'mg', 'k', 'glucose', 'o2', 'l carnitine', 'dacortin', 'benzoate na']","['carbaglu', 'dexamethasone', 'l carnitine', 'dacortin', 'benzoate na']",5,0,4,0,0.5555555555555556
es-S0212-71992006001000007-1,"['gentamicin', 'heparin', 'vancomycin']","['gentamicin', 'heparin', 'vancomycin']",3,0,0,0,1.0
es-S0376-78922009000400002-2,"['physiological saline solution', 'silver sulfadiazine']","['physiological saline solution', 'silver sulfadiazine']",2,0,0,0,1.0
es-S0211-69952013000200025-1,"['hydroxyurea', 'mycophenolate', 'tacrolimus', 'dopamine', 'mg', 'methylprednisolone', 'alemtuzumab']","['hydroxyurea', 'mycophenolate', 'tacrolimus', 'dopamine', 'methylprednisolone', 'alemtuzumab']",6,0,1,0,0.8571428571428571
es-S1135-76062005000100002-1,"['tramadol', 'metamizol', 'nitroplast', 'formalin', 'paracetamol', 'ethyl alcohol', 'trangorex', 'acuprel', 'sulphonylurea', 'morphine', 'sintrom', 'diluton']","['tramadol', 'metamizol', 'nitroplast', 'paracetamol', 'ethyl alcohol', 'trangorex', 'acuprel', 'sulphonylurea', 'morphine', 'sintrom', 'diluton']",11,0,1,0,0.9166666666666666
es-S1139-76322014000100010-1,['gentamicin'],['gentamicin'],1,0,0,0,1.0
es-S1139-76322015000300013-1,"['pseudoephedrine', 'pseudoephedrine hydrochloride', 'mg', 'dextromethorphan', 'oxygen']","['pseudoephedrine hydrochloride', 'dextromethorphan', 'pseudoephedrine']",3,0,2,0,0.6
es-S1130-01082008000900011-1,"['midazolam', 'pethidine']","['midazolam', 'pethidine']",2,0,0,0,1.0
es-S1130-01082005001000014-1,"['mg', 'methylprednisolone']",['methylprednisolone'],1,0,1,0,0.5
es-S1139-76322016000300012-1,"['amoxicillin', 'ciprofloxacin', 'amoxicillin plus clavulanic acid', 'azithromycin']","['amoxicillin', 'ciprofloxacin', 'amoxicillin plus clavulanic acid', 'azithromycin']",4,0,0,0,1.0
es-S1130-63432014000600009-1,"['prednisone', 'mycophenolate', 'cinitapride', 'mg', 'methylprednisolone', 'azathioprine']","['prednisone', 'mycophenolate', 'cinitapride', 'methylprednisolone', 'azathioprine']",5,0,1,0,0.8333333333333334
es-S0210-48062009000900019-1,"['mesna', 'ifosfamide', 'adriamycin']","['mesna', 'ifosfamide', 'adriamycin']",3,0,0,0,1.0
es-S0210-56912007000900007-1,"['digoxin', 'nph insulin', 'metformin', 'enoxaparin', 'enalapril', 'mg', 'sodium bicarbonate', 'torasemide', 'allopurinol', 'mirtazapine', 'noradrenaline', 'bicarbonate']","['digoxin', 'nph insulin', 'metformin', 'enoxaparin', 'enalapril', 'sodium bicarbonate', 'torasemide', 'allopurinol', 'mirtazapine', 'noradrenaline']",10,0,2,0,0.8333333333333334
es-S1139-76322016000300008-1,"['gentamicin', 'cloxacillin', 'silver nitrate', 'mg', 'oxygen']","['gentamicin', 'cloxacillin', 'silver nitrate']",3,0,2,0,0.6
es-S0212-71992004001100006-1,"['clonazepam', 'tamoxifen', 'albumin', 'mg', 'glucose', 'iron']","['clonazepam', 'tamoxifen']",2,0,4,0,0.3333333333333333
es-S1137-66272012000100017-1,"['levofloxacin', 'gentamicin', 'g-csf', 'cefotaxime', 'cefuroxime', 'amikacin', 'co-trimoxazole', 'mg', 'ampicillin', 'ciprofloxacin', 'amoxicillin-clavulanic acid', 'imipen', 'cefepime', 'fluconazole', 'carbimazole', 'meropenem', 'azithromycin']","['levofloxacin', 'imipen', 'g-csf', 'cefotaxime', 'cefuroxime', 'amikacin', 'co-trimoxazole', 'ampicillin', 'ciprofloxacin', 'amoxicillin-clavulanic acid', 'gentamicin', 'cefepime', 'fluconazole', 'carbimazole', 'meropenem', 'azithromycin']",16,0,1,0,0.9411764705882352
es-S1130-14732011000300008-1,"['vancomycin', 'amoxicillin', 'metronidazole', 'p', 'penicillin', 'cotrimoxazole', 'clindamycin', 'ciprofloxacin', 'amoxicillin-clavulanic acid', 'amoxicillin-clavulanate', 'ceftazidime']","['vancomycin', 'amoxicillin', 'metronidazole', 'penicillin', 'cotrimoxazole', 'clindamycin', 'ciprofloxacin', 'amoxicillin-clavulanic acid', 'amoxicillin-clavulanate', 'ceftazidime']",10,0,1,0,0.9090909090909092
es-S0211-69952013000700023-1,"['immunoglobulin', 'calcium', 'albumin', 'bortezomib', 'dexamethasone', 'mg', 'k', 'lenalidomide']","['lenalidomide', 'bortezomib', 'dexamethasone']",3,0,5,0,0.375
es-S0212-16112007000800012-1,"['prednisone', 'calcium', 'furosemide', 'albumin', 'mg', 'spironolactone', 'iron']","['prednisone', 'spironolactone', 'furosemide', 'albumin']",4,0,3,0,0.5714285714285714
es-S1130-63432016000100009-1,"['mg', 'alteplase', 'rivaroxaban', 'enoxaparin']","['alteplase', 'rivaroxaban', 'enoxaparin']",3,0,1,0,0.75
es-S1134-80462004000400007-1,"['metamizole', 'insulin', 'mg', 'bupivacaine', 'morphine', 'fentanyl']","['metamizole', 'insulin', 'bupivacaine', 'morphine', 'fentanyl']",5,0,1,0,0.8333333333333334
es-S0376-78922008000400008-1,"['difehylhydantoin', 'diazapam', 'paracetamol', 'amikacin', 'midazolam', 'ciprofloxacin', 'diclofenac', 'moxifloxacin', 'amoxicillin', 'vancomycin', 'ceftriaxone', 'diphenylhydantoin', 'nalbuphine', 'gamma globulin', 'albumin', 'clindamycin', 'methylprednisolone', 'k', 'fluconazole', 'polymyxin']","['moxifloxacin', 'diphenylhydantoin', 'amoxicillin', 'vancomycin', 'gamma globulin', 'difehylhydantoin', 'diazapam', 'paracetamol', 'clindamycin', 'amikacin', 'midazolam', 'nalbuphine', 'methylprednisolone', 'ciprofloxacin', 'diclofenac', 'fluconazole', 'polymyxin', 'ceftriaxone']",18,0,2,0,0.9
es-S0378-48352006000300005-1,"['prednisone', 'mg', 'amoxicillin-clavulanic acid', 'oxygen', 'chlorambucil', 'p']","['prednisone', 'chlorambucil', 'amoxicillin-clavulanic acid']",3,0,3,0,0.5
S0004-06142007000100015-1,"['vitamin a', 'prednisone', 'tolterodine', 'ciprofloxacin', 'omeprazole']","['vitamin a', 'prednisone', 'tolterodine', 'ciprofloxacin', 'omeprazole']",5,0,0,0,1.0
es-S1134-80462009000100005-16,"['fentanyl', 'paracetamol', 'durogesic® matrix']","['fentanyl', 'paracetamol', 'durogesic® matrix']",3,0,0,0,1.0
es-S0365-66912007000800013-1,"['rt-pa', 'sf6 at 30%']","['rt-pa', 'sf6 at 30%']",2,0,0,0,1.0
es-S0212-71992005000200008-1,"['phosphorus', 'calcium', 'etilefrine', 'albumin', 'etilefrin', 'vitamin b12', 'sodium', 'spironolactone', 'potassium', 'fludocortisone', 'glucose', 'testosterone', 'folic acid']","['spironolactone', 'etilefrine', 'etilefrin', 'fludocortisone']",4,0,9,0,0.3076923076923077
es-S0211-69952013000200019-2,['1.36% glucose'],['1.36% glucose'],1,0,0,0,1.0
es-S1130-01082008000200010-1,"['hydrochlorothiazide', 'amiloride', 'alcohol', 'acenocoumarol', 'mg', 'lovastatin']","['hydrochlorothiazide', 'amiloride', 'acenocoumarol', 'lovastatin']",4,0,2,0,0.6666666666666666
es-S1130-63432014000100012-1,"['levofloxacin', 'vancomycin', 'doxycycline', 'liposomal amphotericin b', 'ganciclovir', 'acyclovir', 'cidofovir', 'mg', 'methylprednisolone', 'linezolid', 'oxygen', 'probenecid', 'meropenem', 'ceftriaxone']","['levofloxacin', 'vancomycin', 'doxycycline', 'liposomal amphotericin b', 'ganciclovir', 'acyclovir', 'cidofovir', 'methylprednisolone', 'linezolid', 'probenecid', 'meropenem', 'ceftriaxone']",12,0,2,0,0.8571428571428571
es-S1699-695X2014000300011-1,"['amoxicillin/clavulanic acid', 'metronidazole']","['amoxicillin/clavulanic acid', 'metronidazole']",2,0,0,0,1.0
es-S1134-80462008000500004-2,"['lidocaine', 'alcohol', 'mg', 'gabapentin', 'amitriptyline', 'carbamazepine']","['lidocaine', 'alcohol', 'gabapentin', 'amitriptyline', 'carbamazepine']",5,0,1,0,0.8333333333333334
es-S0004-06142008000300013-1,"['diclofenac', 'trimetropin-sulfamethoxazole', 'amoxicillin-clavulanic acid']","['diclofenac', 'trimetropin-sulfamethoxazole', 'amoxicillin-clavulanic acid']",3,0,0,0,1.0
es-S1139-76322013000500010-1,"['mg', 'trimethoprim-sulfamethoxazole']",['trimethoprim-sulfamethoxazole'],1,0,1,0,0.5
es-S0365-66912004001200010-2,"['hydroxyurea', 'adiro', 'mg', 'acetylsalicylic acid', 'hydrea']","['hydrea', 'hydroxyurea', 'acetylsalicylic acid', 'adiro']",4,0,1,0,0.8
es-S0211-69952011000500011-3,"['metformin', 'glucagon', 'cr', 'glimepiride', 'mg', 'bicarbonate']","['metformin', 'glucagon', 'glimepiride']",3,0,3,0,0.5
es-S1130-63432013000300013-1,"['telaprevir', 'p-inf', 'p-inf alpha 2a', 'rbv', 'lorazepam']","['telaprevir', 'p-inf', 'p-inf alpha 2a', 'rbv', 'lorazepam']",5,0,0,0,1.0
es-S0210-48062004000500008-1,"['phenylephrine', 'mg', 'saline solution', 'saline']","['phenylephrine', 'saline solution']",2,0,2,0,0.5
es-S1130-63432016000600014-1,"['lormetazepam', 'clarithromycin', 'bisoprolol', 'furosemide', 'acenocoumarol', 'domperidone', 'mg', 'omeprazole', 'oxygen', 'vitamin d', 'sertraline', 'simvastatin']","['lormetazepam', 'clarithromycin', 'bisoprolol', 'furosemide', 'acenocoumarol', 'domperidone', 'vitamin d', 'omeprazole', 'sertraline', 'simvastatin']",10,0,2,0,0.8333333333333334
es-S0210-48062006000300015-1,"['acalka', 'potassium citrate']","['acalka', 'potassium citrate']",2,0,0,0,1.0
es-S1130-05582008000500006-1,"['betamethasone', 'prednisone', 'metformin', 'kenacort', 'lidocaine', 'insulin', 'mg', 'levothyroxine', 'carbamazepine', 'triamcinolone acetonide']","['betamethasone', 'prednisone', 'metformin', 'kenacort', 'lidocaine', 'insulin', 'levothyroxine', 'carbamazepine', 'triamcinolone acetonide']",9,0,1,0,0.9
es-S0212-16112007000700016-1,"['cernevit', 'adamín g', 'glutamine', 'isoplasmar g', 'mg', 'potassium', 'vitamin b12', 'omeprazole', 'addamel', 'folic acid', 'bicarbonate']","['adamín g', 'glutamine', 'isoplasmar g', 'vitamin b12', 'potassium', 'omeprazole']",6,0,5,0,0.5454545454545454
es-S1139-76322013000200009-1,"['romilar', 'dextromethorphan']","['romilar', 'dextromethorphan']",2,0,0,0,1.0
es-S1135-76062013000200010-1,"['mg', 'labetalol']",['labetalol'],1,0,1,0,0.5
es-S1698-44472004000400012-1,['surgicel'],['surgicel'],1,0,0,0,1.0
es-S0212-71992007000700008-1,"['prednisone', 'amoxicillin', 'immunoglobulin', 'cyclophosphamide', 'mycophenolate mofetil', 'pentoxifylline', 'mg', 'levothyroxine', 'sodium heparin', 'k', 'methylprednisolone', 'warfarin', 'glucose', 'flunarizine', 'p', 'nitrogen', 'azathioprine']","['prednisone', 'amoxicillin', 'immunoglobulin', 'cyclophosphamide', 'mycophenolate mofetil', 'pentoxifylline', 'levothyroxine', 'sodium heparin', 'methylprednisolone', 'flunarizine', 'warfarin', 'azathioprine']",12,0,5,0,0.7058823529411765
es-S0004-06142008000300011-1,['hyperbaric bupivacaine'],['hyperbaric bupivacaine'],1,0,0,0,1.0
es-S0365-66912006000600010-1,"['mg', 'carbamazepine', 'hydantoin', 'topamax']","['carbamazepine', 'hydantoin', 'topamax']",3,0,1,0,0.75
es-S1699-695X2015000300013-1,"['methimazole', 'calcium', 'mg', 'potassium', 'sodium', 'propranolol', 'magnesium', 'vitamin d']","['potassium', 'methimazole', 'propranolol']",3,0,5,0,0.375
es-S1130-63432014000300013-4,"['gemcitabine', 'mmc', 'bcg']","['gemcitabine', 'mmc', 'bcg']",3,0,0,0,1.0
es-S0376-78922014000200012-1,"['vancomycin', 'clindamycin', 'isodine', 'meropenem', 'amphotericin']","['vancomycin', 'clindamycin', 'isodine', 'meropenem', 'amphotericin']",5,0,0,0,1.0
es-S1130-01082008001200016-1,"['mg', 'imatinib']",['imatinib'],1,0,1,0,0.5
es-S1135-76062009000400004-1,"['atracurium besylate', 'fentanyl', 'tramadol', 'renifentanil', 'dexketoprofen trometamol', 'dexamethasone', 'mg', 'hydrogen peroxide', 'propofol', 'sevofluorane']","['atracurium besylate', 'fentanyl', 'tramadol', 'renifentanil', 'dexketoprofen trometamol', 'dexamethasone', 'hydrogen peroxide', 'propofol', 'sevofluorane']",9,0,1,0,0.9
es-S1130-14732006000200011-1,['factor viii'],['factor viii'],1,0,0,0,1.0
es-S1130-05582015000400005-1,"['epinephrine', 'methylene blue', 'p', 'lidocaine']","['lidocaine', 'epinephrine']",2,0,2,0,0.5
es-S1134-80462005000300007-1,"['mg', 'epinephrine', 'bupivacaine 0.25%', 'bupivacaine', 'fentanyl', 'low molecular weight heparin']","['bupivacaine', 'epinephrine', 'fentanyl', 'low molecular weight heparin']",4,0,2,0,0.6666666666666666
es-S0376-78922009000400011-1,"['mg', 'amikacin', 'clindamycin']","['amikacin', 'clindamycin']",2,0,1,0,0.6666666666666666
es-S1130-01082009000300015-1,"['mesalazine', 'mg', 'plantago ovata', 'omeprazole', 'iron']","['omeprazole', 'plantago ovata', 'iron', 'mesalazine']",4,0,1,0,0.8
es-S0211-69952011000600018-1,"['prednisone', 'rituximab', 'cr', 'mg', 'acetylsalicylic acid', 'diclofenac', 'asa', 'azathioprine']","['prednisone', 'rituximab', 'acetylsalicylic acid', 'diclofenac', 'asa', 'azathioprine']",6,0,2,0,0.75
es-S0210-48062009000200018-1,"['sinvastatin', 'mg', 'indapamide']","['sinvastatin', 'indapamide']",2,0,1,0,0.6666666666666666
es-S0210-56912008000100008-3,"['lidocaine', 'st', 'tenecteplase']","['lidocaine', 'tenecteplase']",2,0,1,0,0.6666666666666666
es-S0211-69952011000400013-1,"['prednisone', 'tramadol', 'rifampicin', 'interferon', 'pyrazinamide', 'adalimumab', 'mg', 'isoniazid', 'allopurinol', 'ethambutol', 'erythropoietin']","['prednisone', 'tramadol', 'rifampicin', 'pyrazinamide', 'adalimumab', 'isoniazid', 'allopurinol', 'ethambutol', 'erythropoietin']",9,0,2,0,0.8181818181818182
es-S0365-66912012000200005-1,"['testosterone', 'vasopressin', 'methylprednisolone', 'growth hormone']","['vasopressin', 'methylprednisolone']",2,0,2,0,0.5
es-S0365-66912007001200009-1,"['sodium', 'triamcinolone']",['triamcinolone'],1,0,1,0,0.5
es-S1137-66272014000300015-1,"['mg', 'docetaxel', 'somatostatin']","['docetaxel', 'somatostatin']",2,0,1,0,0.6666666666666666
es-S0210-48062009000200019-1,"['allopurinol', 'captopril', 'atorvastatin']","['allopurinol', 'captopril', 'atorvastatin']",3,0,0,0,1.0
es-S1137-66272009000300015-1,"['mg', 'immunoglobulins', 'immunoglobulin', 'prednisone']",['prednisone'],1,0,3,0,0.25
es-S0365-66912012000300005-1,"['prednisone', 'methylprednisolone', 'insulin', 'azathioprine']","['prednisone', 'methylprednisolone', 'insulin', 'azathioprine']",4,0,0,0,1.0
es-S1137-66272015000300014-1,"['levothyrosine', 'dexketoprofen', 'candesartan', 'paracetamol', 'dexamethasone', 'mg', '0.5% hyperbaric bupivacaine', 'ropivacaine', 'ketamine', 'propofol', 'oxygen', 'morphine', 'o2', 'metamizole', 'fentanyl', 'mepivacaine']","['levothyrosine', 'dexketoprofen', 'candesartan', 'paracetamol', 'dexamethasone', '0.5% hyperbaric bupivacaine', 'ropivacaine', 'ketamine', 'propofol', 'o2', 'metamizole', 'fentanyl', 'mepivacaine']",13,0,3,0,0.8125
es-S0211-69952012000500016-1,"['immunoglobulins', 'vitamin b12', 'mg', 'folic acid', 'infliximab', 'iron', 'azathioprine']","['infliximab', 'azathioprine']",2,0,5,0,0.2857142857142857
es-S1137-66272014000200011-1,"['tg', 'radioiodine', 'i131', 'tshrh', 'silver nitrate', 'levothyroxine']","['levothyroxine', 'radioiodine', 'i131', 'tshrh']",4,0,2,0,0.6666666666666666
es-S1139-76322015000100012-4,"['penicillin', 'mupirocin', 'clotrimazole']","['penicillin', 'mupirocin', 'clotrimazole']",3,0,0,0,1.0
es-S1130-01082007001000017-1,"['clonazepam', 'physiological saline solution', 'polyethylene glycol', 'cocaine', 'mg', 'glucose', 'casenglicol', 'diazepam', 'o2']","['clonazepam', 'physiological saline solution', 'polyethylene glycol', 'casenglicol', 'diazepam']",5,0,4,0,0.5555555555555556
es-S0465-546X2009000300008-1,"['mg', 'isoniazid', 'pyrazinamide', 'rifampicin']","['isoniazid', 'pyrazinamide', 'rifampicin']",3,0,1,0,0.75
es-S0365-66912008001000010-1,"['acetazolamide', 'naproxen']","['acetazolamide', 'naproxen']",2,0,0,0,1.0
es-S0376-78922009000200008-2,['physiological saline'],['physiological saline'],1,0,0,0,1.0
es-S1130-14732009000300006-1,"['mg', 'acetylsalicylic acid', 'dexamethasone']","['acetylsalicylic acid', 'dexamethasone']",2,0,1,0,0.6666666666666666
es-S1139-76322009000200009-1,"['oxygen', 'salbutamol', 'prednisolone']","['oxygen', 'salbutamol', 'prednisolone']",3,0,0,0,1.0
es-S1130-01082010000700014-1,['5-asa'],['5-asa'],1,0,0,0,1.0
es-S1888-75462015000400006-1,"['mg', 'glucosamine-chondroitin sulphate']",['glucosamine-chondroitin sulphate'],1,0,1,0,0.5
es-S0365-66912007000900009-1,"['mg', 'rituximab', 'prednisone', 'cefotaxime']","['prednisone', 'rituximab', 'cefotaxime']",3,0,1,0,0.75
es-S1130-14732006000400007-1,"['cyclophosphamide', 'calcium', 'vincristine', 'aredia', 'dexamethasone', 'etopoxide', 'adriomycin']","['cyclophosphamide', 'vincristine', 'aredia', 'dexamethasone', 'etopoxide', 'adriomycin']",6,0,1,0,0.8571428571428571
es-S0365-66912006001200010-1,['methyl-prednisolone'],['methyl-prednisolone'],1,0,0,0,1.0
es-S0365-66912006000200012-1,"['mg', 'methylprednisolone']",['methylprednisolone'],1,0,1,0,0.5
es-S0212-71992000001200006-1,"['ganciclovir', 'sulfadiazine', 'pyrimethamine']","['ganciclovir', 'sulfadiazine', 'pyrimethamine']",3,0,0,0,1.0
es-S0212-16112010000600024-1,"['imipenem', 'cimetidine', 'albumin', 'mg', 'potassium', 'magnesium', 'phosphate', 'thiamine', 'nitrogen']","['imipenem', 'cimetidine', 'potassium', 'magnesium', 'phosphate', 'thiamine', 'nitrogen']",7,0,2,0,0.7777777777777778
es-S0212-71992003000500006-1,"['mg', 'amoxicillin', 'paracetamol']","['amoxicillin', 'paracetamol']",2,0,1,0,0.6666666666666666
es-S0376-78922014000100013-1,"['mesna', 'cyclophosphamide', 'vincristine', 'mg', 'doxurrubicin']","['mesna', 'vincristine', 'cyclophosphamide', 'doxurrubicin']",4,0,1,0,0.8
es-S0210-48062004000300007-1,['e-aminocaproic acid'],['e-aminocaproic acid'],1,0,0,0,1.0
es-S0210-56912006000800008-1,"['pentoxifylline', 'albumin', 'alcohol', 'mg', 'heparin na', 'terlipressin', 'epoprostenol sodium']","['pentoxifylline', 'albumin', 'heparin na', 'terlipressin', 'epoprostenol sodium']",5,0,2,0,0.7142857142857143
es-S1139-76322016000300013-1,"['mg', 'immunoglobulin', 'gamma globulin', 'intravenous gamma globulin']","['gamma globulin', 'intravenous gamma globulin']",2,0,2,0,0.5
es-S0211-69952014000200016-1,"['p', 'iron', 'erythropoietin']","['iron', 'erythropoietin']",2,0,1,0,0.6666666666666666
es-S0210-48062007001000004-4,"['cisplatin', 'etoposide']","['cisplatin', 'etoposide']",2,0,0,0,1.0
es-S0210-48062005000300016-2,"['immunoglobulins', 'heparin', 'cocaine', 'mg', 'verapamil']","['heparin', 'verapamil']",2,0,3,0,0.4
es-S1135-76062014000300006-1,"['metamizole', 'dipyrone']","['metamizole', 'dipyrone']",2,0,0,0,1.0
S0004-06142005000700014-1,"['doxycycline', 'calcium', 'mg', 'potassium', 'sodium', 'streptomycin', 'glucose']","['streptomycin', 'doxycycline']",2,0,5,0,0.2857142857142857
es-S1137-66272011000100012-1,"['mg', 'levothyroxine', 'amlodipine']","['levothyroxine', 'amlodipine']",2,0,1,0,0.6666666666666666
es-S0365-66912006000100010-1,['botulinum toxin'],['botulinum toxin'],1,0,0,0,1.0
S0004-06142007000300011-1,"['mg', 'ketorolac', 'albumin', 'nitrogen']",['ketorolac'],1,0,3,0,0.25
es-S1139-76322016000200010-1,"['trimethoprim/sulfamethoxazole', 'cefixime', 'cefuroxime axetil', 'ampicillin', 'gentamicin', 'amoxicillin/clavulanic acid']","['trimethoprim/sulfamethoxazole', 'cefixime', 'cefuroxime axetil', 'ampicillin', 'gentamicin', 'amoxicillin/clavulanic acid']",6,0,0,0,1.0
es-S0212-71992004000600005-1,"['vancomycin', 'immunoglobulin', 'ceftazidime', 'metronidazole']","['vancomycin', 'ceftazidime', 'metronidazole']",3,0,1,0,0.75
es-S0004-06142008000400010-1,"['mg', 'goserelin', 'bicalutamide', 'zoledronic acid']","['goserelin', 'bicalutamide', 'zoledronic acid']",3,0,1,0,0.75
es-S1137-66272016000300010-1,"['penicillin', 'mg', 'o2']",['penicillin'],1,0,2,0,0.3333333333333333
es-S1699-695X2015000300010-1,"['mg', 'riluzole']",['riluzole'],1,0,1,0,0.5
es-S0004-06142009000300014-4,"['epirubicin', 'ifosfamide']","['epirubicin', 'ifosfamide']",2,0,0,0,1.0
es-S0210-48062004000900010-1,"['mg', 'isoniazid', 'pyrazinamide', 'rifampicin']","['isoniazid', 'pyrazinamide', 'rifampicin']",3,0,1,0,0.75
es-S1138-123X2003000200006-1,"['ledermix', 'gutta-percha', 'calcium hydroxide', '4% mepivacaine']","['ledermix', 'gutta-percha', 'calcium hydroxide', '4% mepivacaine']",4,0,0,0,1.0
es-S1130-01082008001000010-1,"['mg', 'methylprednisolone', 'gamma globulin']",['methylprednisolone'],1,0,2,0,0.3333333333333333
es-S0211-57352011000400009-1,"['hydrochlorothiazide', 'bromazepam', 'enalapril', 'mg', 'levothyroxine', 'isotonic saline solution', 'acetylsalicylic acid', 'atenolol', 'sodium', 'mirtazapine', 'nitroglycerin', 'omeprazole', 'tamsulosin', 'sertraline', 'citalopram', 'simvastatin']","['hydrochlorothiazide', 'bromazepam', 'enalapril', 'levothyroxine', 'isotonic saline solution', 'acetylsalicylic acid', 'atenolol', 'mirtazapine', 'nitroglycerin', 'omeprazole', 'tamsulosin', 'sertraline', 'citalopram', 'simvastatin']",14,0,2,0,0.875
es-S0365-66912006000100009-1,"['pyrazinamide', 'mg', 'isoniazid', 'ethambutol', 'rifampicin']","['isoniazid', 'pyrazinamide', 'ethambutol', 'rifampicin']",4,0,1,0,0.8
es-S0365-66912012000200004-1,"['combigan', 'mycophenolate mofetil', 'diclofenac sodium', 'diclofenac-lepori', 'brimonidine', 'prednisone', 'brinzolamide', 'tobramycin', 'dexamethasone', 'mg', 'edemox', 'acetazolamide', 'azopt', 'cellcept', 'prograf', 'tacrolimus', 'acyclovir', 'timolol maleate 0.5%', 'saflutan', 'prednisone alonga', 'tafluprost', 'zovirax', 'virex']","['combigan', 'mycophenolate mofetil', 'diclofenac sodium', 'diclofenac-lepori', 'brimonidine', 'prednisone', 'brinzolamide', 'tobramycin', 'dexamethasone', 'edemox', 'timolol maleate', 'acetazolamide', 'azopt', 'cellcept', 'prograf', 'tacrolimus', 'acyclovir', 'saflutan', 'prednisone alonga', 'tafluprost', 'zovirax', 'virex']",21,0,2,1,0.875
es-S1130-01082007000500016-1,"['metronidazole', 'capecitabine', 'mg', 'gentamicin', 'ceftriaxone']","['gentamicin', 'metronidazole', 'capecitabine', 'ceftriaxone']",4,0,1,0,0.8
es-S1130-01082010000600013-1,"['isosorbide mononitrate', 'iron']",['isosorbide mononitrate'],1,0,1,0,0.5
es-S1139-13752009000200010-1,"['mycophenolate-mofetil', 'cellce', 'imurel', 'azathioprine']","['mycophenolate-mofetil', 'cellce', 'imurel', 'azathioprine']",4,0,0,0,1.0
es-S1134-80462014000300004-4,"['bupivacaine', 'capsaicin', 'pregabalin', 'tramadol']","['bupivacaine', 'capsaicin', 'pregabalin', 'tramadol']",4,0,0,0,1.0
es-S0212-71992007000300007-1,"['immunoglobulins', 'cyclophosphamide', 'anastrozole', 'methylprednisolone', 'epirubicin']","['immunoglobulins', 'cyclophosphamide', 'anastrozole', 'methylprednisolone', 'epirubicin']",5,0,0,0,1.0
es-S1698-69462006000100006-1,['omeprazole'],['omeprazole'],1,0,0,0,1.0
es-S0365-66912006000900011-1,"['aminocaproic acid', 'factor viii', 'vitamin k', 'atropine sulphate']",['aminocaproic acid'],1,0,3,0,0.25
es-S1137-66272016000300012-1,"['bisoprolol', 'amiodarone', 'cr', 'furosemide', 'acenocoumarol', 'mg']","['amiodarone', 'furosemide', 'acenocoumarol', 'bisoprolol']",4,0,2,0,0.6666666666666666
es-S0210-48062006000300014-1,"['mg', 'cddp', 'k']",['cddp'],1,0,2,0,0.3333333333333333
es-S1139-76322017000100010-1,"['oral iron', 'iron']",['iron'],1,0,1,0,0.5
es-S1889-836X2015000200005-2,"['vitamin d', 'denosumab', 'bazedoxifene', 'calcium']","['vitamin d', 'denosumab', 'bazedoxifene', 'calcium']",4,0,0,0,1.0
es-S1130-01082010000200011-1,"['mg', 'imipenem']",['imipenem'],1,0,1,0,0.5
es-S0365-66912005000600011-1,"['prednisone', 'fluorometholone', 'torvastatin', 'mg', 'immunoglobulin g', 'gentamicin']","['prednisone', 'torvastatin', 'gentamicin', 'fluorometholone']",4,0,2,0,0.6666666666666666
es-S0211-69952015000100013-1,"['clonidine', 'alpha methyl dopa', 'labetalol', 'amlodipine', 'calcium', 'enalapril', 'spironolactone', 'potassium', 'losartan', 'nifedipine']","['clonidine', 'alpha methyl dopa', 'labetalol', 'amlodipine', 'enalapril', 'spironolactone', 'losartan', 'nifedipine']",8,0,2,0,0.8
